SDE,ClutchSE,HPO,Survival,SD,Lower,Upper,ClutchSurvival,ClutchSD
0.007978836,0,12,0.971,0.174077656,0.956,0.986,0,0
0.008820935,0,24,0.964,0.19245009,0.948,0.981,0,0
0.010089739,0,36,0.954,0.220132119,0.935,0.973,0,0
0.010327884,0,48,0.952,0.225327821,0.933,0.971,0,0
0.011674593,0,60,0.939,0.254709555,0.918,0.961,0.07184,0.175969
0.011887478,0.107,72,0.937,0.259354148,0.915,0.959,46.87062,40.520175
0.012304955,0.072,84,0.933,0.268462422,0.911,0.956,95.36241,8.25421
0.012912527,0.146,96,0.926,0.281718085,0.903,0.95,97.74032,2.789216
0.014443978,0.146,108,0.91,0.315130385,0.884,0.936,97.74032,2.789216
0.014443978,0,120,0.91,0.315130385,0.884,0.936,1,0
