Clutch,Age,TotLength,SubTreat,TadAge
CHS003,Hatchlings,5.589,SUB-96,96
CHS003,Hatchlings,5.513,SUB-96,96
CHS003,Hatchlings,5.473,SUB-96,96
CHS003,Hatchlings,5.646,SUB-96,96
CHS003,Hatchlings,6.058,SUB-96,96
CHS003,Hatchlings,5.41,SUB-96,96
CHS003,Hatchlings,5.476,SUB-96,96
CHS003,Hatchlings,5.185,SUB-96,96
CHS023,Hatchlings,5.336,SUB-96,96
CHS023,Hatchlings,5.835,SUB-96,96
CHS023,Hatchlings,5.781,SUB-96,96
CHS023,Hatchlings,5.467,SUB-96,96
CHS023,Hatchlings,5.562,SUB-96,96
CHS023,Hatchlings,5.552,SUB-96,96
CHS023,Hatchlings,5.101,SUB-96,96
CHS023,Hatchlings,5.668,SUB-96,96
CHS023,Hatchlings,5.406,SUB-96,96
CHS023,Hatchlings,5.441,SUB-96,96
CHS053,Hatchlings,4.876,SUB-96,96
CHS053,Hatchlings,4.716,SUB-96,96
CHS053,Hatchlings,4.517,SUB-96,96
CHS053,Hatchlings,4.687,SUB-96,96
CHS053,Hatchlings,4.754,SUB-96,96
CHS053,Hatchlings,4.569,SUB-96,96
CHS053,Hatchlings,4.583,SUB-96,96
CHS053,Hatchlings,4.92,SUB-96,96
CHS053,Hatchlings,4.829,SUB-96,96
CHS053,Hatchlings,4.567,SUB-96,96
CHS133,Hatchlings,3.64,SUB-72,72
CHS133,Hatchlings,3.871,SUB-72,72
CHS133,Hatchlings,3.552,SUB-72,72
CHS133,Hatchlings,3.673,SUB-72,72
CHS133,Hatchlings,3.804,SUB-72,72
CHS133,Hatchlings,3.817,SUB-72,72
CHS133,Hatchlings,3.971,SUB-72,72
CHS133,Hatchlings,3.532,SUB-72,72
CHS133,Hatchlings,3.828,SUB-72,72
CHS133,Hatchlings,3.246,SUB-72,72
CHS135,Hatchlings,5.131,SUB-96,96
CHS135,Hatchlings,5.038,SUB-96,96
CHS135,Hatchlings,4.923,SUB-96,96
CHS135,Hatchlings,4.915,SUB-96,96
CHS135,Hatchlings,4.721,SUB-96,96
CHS135,Hatchlings,4.714,SUB-96,96
CHS135,Hatchlings,4.73,SUB-96,96
CHS135,Hatchlings,4.39,SUB-96,96
CHS135,Hatchlings,4.549,SUB-96,96
CHS135,Hatchlings,4.672,SUB-96,96
CHS136,Hatchlings,4.459,SUB-84,84
CHS136,Hatchlings,4.718,SUB-84,84
CHS136,Hatchlings,4.416,SUB-84,84
CHS136,Hatchlings,4.656,SUB-84,84
CHS136,Hatchlings,4.489,SUB-84,84
CHS136,Hatchlings,4.957,SUB-84,84
CHS136,Hatchlings,4.312,SUB-84,84
CHS136,Hatchlings,4.406,SUB-84,84
CHS136,Hatchlings,4.601,SUB-84,84
CHS136,Hatchlings,4.451,SUB-84,84
CHS149,Hatchlings,4.488,SUB-84,84
CHS149,Hatchlings,4.236,SUB-84,84
CHS149,Hatchlings,4.63,SUB-84,84
CHS149,Hatchlings,4.17,SUB-84,84
CHS149,Hatchlings,4.132,SUB-84,84
CHS149,Hatchlings,4.201,SUB-84,84
CHS149,Hatchlings,4.422,SUB-84,84
CHS149,Hatchlings,4.442,SUB-84,84
CHS149,Hatchlings,4.43,SUB-84,84
CHS149,Hatchlings,4.354,SUB-84,84
CHS152,Hatchlings,4.815,SUB-84,84
CHS152,Hatchlings,4.687,SUB-84,84
CHS152,Hatchlings,4.8,SUB-84,84
CHS152,Hatchlings,4.618,SUB-84,84
CHS152,Hatchlings,5.007,SUB-84,84
CHS152,Hatchlings,4.974,SUB-84,84
CHS152,Hatchlings,4.479,SUB-84,84
CHS152,Hatchlings,4.552,SUB-84,84
CHS152,Hatchlings,4.795,SUB-84,84
CHS152,Hatchlings,4.75,SUB-84,84
CHS155,Hatchlings,4.191,SUB-72,72
CHS155,Hatchlings,3.977,SUB-72,72
CHS155,Hatchlings,3.993,SUB-72,72
CHS155,Hatchlings,3.969,SUB-72,72
CHS155,Hatchlings,4.094,SUB-72,72
CHS155,Hatchlings,4.076,SUB-72,72
CHS155,Hatchlings,4.163,SUB-72,72
CHS155,Hatchlings,4.02,SUB-72,72
CHS155,Hatchlings,4.122,SUB-72,72
CHS155,Hatchlings,3.933,SUB-72,72
CHS010,Hatchlings,4.166,SUB-72,72
CHS010,Hatchlings,4.419,SUB-72,72
CHS010,Hatchlings,4.484,SUB-72,72
CHS010,Hatchlings,3.601,SUB-72,72
CHS010,Hatchlings,4.388,SUB-72,72
CHS010,Hatchlings,4.532,SUB-72,72
CHS010,Hatchlings,4.295,SUB-72,72
CHS010,Hatchlings,4.022,SUB-72,72
CHS010,Hatchlings,4.304,SUB-72,72
CHS010,Hatchlings,4.04,SUB-72,72
CHS056,Hatchlings,3.375,SUB-72,72
CHS056,Hatchlings,4.439,SUB-72,72
CHS067,Hatchlings,4.493,SUB-72,72
CHS067,Hatchlings,4.681,SUB-72,72
CHS067,Hatchlings,4.174,SUB-72,72
CHS067,Hatchlings,4.645,SUB-72,72
CHS067,Hatchlings,4.636,SUB-72,72
CHS067,Hatchlings,4.846,SUB-72,72
CHS067,Hatchlings,4.309,SUB-72,72
CHS067,Hatchlings,4.135,SUB-72,72
CHS067,Hatchlings,4.563,SUB-72,72
CHS067,Hatchlings,4.491,SUB-72,72
CHS098,Hatchlings,4.866,SUB-84,84
CHS098,Hatchlings,4.615,SUB-84,84
CHS098,Hatchlings,4.604,SUB-84,84
CHS098,Hatchlings,4.49,SUB-84,84
CHS098,Hatchlings,5.223,SUB-84,84
CHS098,Hatchlings,5.557,SUB-84,84
CHS098,Hatchlings,4.882,SUB-84,84
CHS098,Hatchlings,5.663,SUB-84,84
CHS098,Hatchlings,5.631,SUB-84,84
CHS098,Hatchlings,5.342,SUB-84,84
CHS124,Hatchlings,4.159,SUB-84,84
CHS124,Hatchlings,4.147,SUB-84,84
CHS124,Hatchlings,4.682,SUB-84,84
CHS124,Hatchlings,4.491,SUB-84,84
CHS124,Hatchlings,4.382,SUB-84,84
CHS124,Hatchlings,4.382,SUB-84,84
CHS124,Hatchlings,4.134,SUB-84,84
CHS124,Hatchlings,4.075,SUB-84,84
CHS124,Hatchlings,4.408,SUB-84,84
CHS124,Hatchlings,4.355,SUB-84,84
CHS020,Hatchlings,5.952,SUB-96,96
CHS020,Hatchlings,4.804,SUB-96,96
CHS020,Hatchlings,6.201,SUB-96,96
CHS020,Hatchlings,6.972,SUB-96,96
CHS020,Hatchlings,5.535,SUB-96,96
CHS020,Hatchlings,5.672,SUB-96,96
CHS020,Hatchlings,5.208,SUB-96,96
CHS020,Hatchlings,5.207,SUB-96,96
CHS020,Hatchlings,5.15,SUB-96,96
CHS020,Hatchlings,5.393,SUB-96,96
