Clutch,Treatment,TimePointSinceSub,MinSinceSub,PercentHatch,CummulativePercentHatch
CHS028,SUB-48,1,5,0,0
CHS028,SUB-48,2,10,0,0
CHS028,SUB-48,3,15,0,0
CHS028,SUB-48,4,20,0,0
CHS028,SUB-48,5,25,0,0
CHS028,SUB-48,6,30,0,0
CHS028,SUB-48,7,35,0,0
CHS028,SUB-48,8,40,0,0
CHS028,SUB-48,9,45,0,0
CHS028,SUB-48,10,50,0,0
CHS028,SUB-48,11,55,0,0
CHS028,SUB-48,12,60,0,0
CHS038,SUB-48,1,5,0,0
CHS038,SUB-48,2,10,0,0
CHS038,SUB-48,3,15,0,0
CHS038,SUB-48,4,20,0,0
CHS038,SUB-48,5,25,0,0
CHS038,SUB-48,6,30,0,0
CHS038,SUB-48,7,35,0,0
CHS038,SUB-48,8,40,0,0
CHS038,SUB-48,9,45,0,0
CHS038,SUB-48,10,50,0,0
CHS038,SUB-48,11,55,0,0
CHS038,SUB-48,12,60,0,0
CHS121,SUB-48,1,5,0,0
CHS121,SUB-48,2,10,0,0
CHS121,SUB-48,3,15,0,0
CHS121,SUB-48,4,20,0,0
CHS121,SUB-48,5,25,0,0
CHS121,SUB-48,6,30,0,0
CHS121,SUB-48,7,35,0,0
CHS121,SUB-48,8,40,0,0
CHS121,SUB-48,9,45,0,0
CHS121,SUB-48,10,50,0,0
CHS121,SUB-48,11,55,0,0
CHS121,SUB-48,12,60,0,0
CHS144,SUB-48,1,5,0,0
CHS144,SUB-48,2,10,0,0
CHS144,SUB-48,3,15,0,0
CHS144,SUB-48,4,20,0,0
CHS144,SUB-48,5,25,0,0
CHS144,SUB-48,6,30,0,0
CHS144,SUB-48,7,35,0,0
CHS144,SUB-48,8,40,0,0
CHS144,SUB-48,9,45,0,0
CHS144,SUB-48,10,50,0,0
CHS144,SUB-48,11,55,0,0
CHS144,SUB-48,12,60,0,0
CHS146,SUB-48,1,5,0,0
CHS146,SUB-48,2,10,0,0
CHS146,SUB-48,3,15,0,0
CHS146,SUB-48,4,20,0,0
CHS146,SUB-48,5,25,0,0
CHS146,SUB-48,6,30,0,0
CHS146,SUB-48,7,35,0,0
CHS146,SUB-48,8,40,0,0
CHS146,SUB-48,9,45,0,0
CHS146,SUB-48,10,50,0,0
CHS146,SUB-48,11,55,0,0
CHS146,SUB-48,12,60,0,0
CHS075,SUB-60,1,5,0,0
CHS075,SUB-60,2,10,0,0
CHS075,SUB-60,3,15,0,0
CHS075,SUB-60,4,20,0,0
CHS075,SUB-60,5,25,0,0
CHS075,SUB-60,6,30,0,0
CHS075,SUB-60,7,35,0,0
CHS075,SUB-60,8,40,0,0
CHS075,SUB-60,9,45,0,0
CHS075,SUB-60,10,50,0,0
CHS075,SUB-60,11,55,0,0
CHS075,SUB-60,12,60,0,0
CHS080,SUB-60,1,5,0,0
CHS080,SUB-60,2,10,0,0
CHS080,SUB-60,3,15,0,0
CHS080,SUB-60,4,20,0,0
CHS080,SUB-60,5,25,0,0
CHS080,SUB-60,6,30,0,0
CHS080,SUB-60,7,35,0,0
CHS080,SUB-60,8,40,0,0
CHS080,SUB-60,9,45,0,0
CHS080,SUB-60,10,50,0,0
CHS080,SUB-60,11,55,0,0
CHS080,SUB-60,12,60,0,0
CHS083,SUB-60,1,5,0,0
CHS083,SUB-60,2,10,0,0
CHS083,SUB-60,3,15,0,0
CHS083,SUB-60,4,20,0,0
CHS083,SUB-60,5,25,0,0
CHS083,SUB-60,6,30,0,0
CHS083,SUB-60,7,35,0,0
CHS083,SUB-60,8,40,0,0
CHS083,SUB-60,9,45,0,0
CHS083,SUB-60,10,50,0,0
CHS083,SUB-60,11,55,0,0
CHS083,SUB-60,12,60,0,0
CHS089,SUB-60,1,5,0,0
CHS089,SUB-60,2,10,0,0
CHS089,SUB-60,3,15,0,0
CHS089,SUB-60,4,20,0,0
CHS089,SUB-60,5,25,0,0
CHS089,SUB-60,6,30,0,0
CHS089,SUB-60,7,35,0,0
CHS089,SUB-60,8,40,0,0
CHS089,SUB-60,9,45,0,0
CHS089,SUB-60,10,50,0,0
CHS089,SUB-60,11,55,0,0
CHS089,SUB-60,12,60,0,0
CHS091,SUB-60,1,5,0,0
CHS091,SUB-60,2,10,0,0
CHS091,SUB-60,3,15,0,0
CHS091,SUB-60,4,20,0,0
CHS091,SUB-60,5,25,0,0
