"","Date","Location","TimeOfDay","Unique.ID","Orig_Height_cm","Orig_WaterLevel","Orig_WaterLevel_corr","HPO","New_WaterLevel","New_WaterLevel_corr","New_Height_cm","submerged"
"1",2011-07-07,"LDP","dawn","LDPCH032011",50,NA,0,0,NA,0,50,0
"2",2011-07-07,"LDP","dusk","LDPCH032011",50,NA,0,12,NA,0,50,0
"3",2011-07-08,"LDP","dawn","LDPCH032011",50,NA,0,24,NA,0,50,0
"4",2011-07-08,"LDP","dusk","LDPCH032011",50,NA,0,36,NA,0,50,0
"5",2011-07-09,"LDP","dawn","LDPCH032011",50,NA,0,48,NA,0,50,0
"6",2011-07-09,"LDP","dusk","LDPCH032011",50,NA,0,60,NA,0,50,0
"7",2011-07-10,"LDP","dawn","LDPCH032011",50,NA,0,72,NA,0,50,0
"8",2011-07-10,"LDP","dawn","LDPCH042011",100,NA,0,0,NA,0,100,0
"9",2011-07-10,"LDP","dusk","LDPCH042011",100,NA,0,12,NA,0,100,0
"10",2011-07-10,"LDP","dusk","LDPCH032011",50,NA,0,84,NA,0,50,0
"11",2011-07-11,"LDP","dawn","LDPCH042011",100,NA,0,24,NA,0,100,0
"12",2011-07-11,"LDP","dawn","LDPCH032011",50,NA,0,96,NA,0,50,0
"13",2011-07-11,"LDP","dusk","LDPCH042011",100,NA,0,36,NA,0,100,0
"14",2011-07-11,"LDP","dusk","LDPCH032011",50,NA,0,108,NA,0,50,0
"16",2011-07-12,"LDP","dawn","LDPCH042011",100,NA,0,48,NA,0,100,0
"17",2011-07-12,"LDP","dusk","LDPCH042011",100,NA,0,60,NA,0,100,0
"18",2011-07-13,"LDP","dawn","LDPCH042011",100,NA,0,72,NA,0,100,0
"19",2011-07-13,"LDP","dusk","LDPCH042011",100,NA,0,84,NA,0,100,0
"20",2011-07-14,"LDP","dawn","LDPCH042011",100,NA,0,96,NA,0,100,0
"21",2011-07-14,"LDP","dusk","LDPCH042011",100,NA,0,108,NA,0,100,0
"23",2011-07-16,"LDP","dawn","LDPCHL012011",82,15,15,0,15,15,82,0
"24",2011-07-16,"LDP","dawn","LDPCHL022011",72,15,15,0,15,15,72,0
"25",2011-07-16,"LDP","dusk","LDPCHL012011",82,15,15,12,14,14,83,0
"26",2011-07-16,"LDP","dusk","LDPCHL022011",72,15,15,12,14,14,73,0
"27",2011-07-17,"LDP","dawn","LDPCHL012011",82,15,15,24,14,14,83,0
"28",2011-07-17,"LDP","dawn","LDPCHL032011",97,14,14,0,14,14,97,0
"29",2011-07-17,"LDP","dawn","LDPCHL022011",72,15,15,24,14,14,73,0
"30",2011-07-17,"LDP","dusk","LDPCHL032011",97,14,14,12,14,14,97,0
"31",2011-07-17,"LDP","dusk","LDPCHL012011",82,15,15,36,14,14,83,0
"32",2011-07-17,"LDP","dusk","LDPCHL022011",72,15,15,36,14,14,73,0
"33",2011-07-18,"LDP","dawn","LDPCHL012011",82,15,15,48,13,13,84,0
"34",2011-07-18,"LDP","dawn","LDPCHL022011",72,15,15,48,13,13,74,0
"35",2011-07-18,"LDP","dawn","LDPCHL032011",97,14,14,24,13,13,98,0
"36",2011-07-18,"LDP","dusk","LDPCHL012011",82,15,15,60,11,11,86,0
"37",2011-07-18,"LDP","dusk","LDPCHL022011",72,15,15,60,11,11,76,0
"38",2011-07-18,"LDP","dusk","LDPCHL032011",97,14,14,36,11,11,100,0
"39",2011-07-19,"LDP","dawn","LDPCHL012011",82,15,15,72,11,11,86,0
"40",2011-07-19,"LDP","dawn","LDPCHL032011",97,14,14,48,11,11,100,0
"41",2011-07-19,"LDP","dawn","LDPCHL022011",72,15,15,72,11,11,76,0
