"","Date","Location","TimeOfDay","Unique.ID","Orig_Height_cm","Orig_WaterLevel","Orig_WaterLevel_corr","HPO","New_WaterLevel","New_WaterLevel_corr"
"1",2011-07-07,"LDP","dawn","LDPCH032011",50,NA,0,0,NA,0
"2",2011-07-07,"LDP","dusk","LDPCH032011",50,NA,0,12,NA,0
"3",2011-07-08,"LDP","dawn","LDPCH032011",50,NA,0,24,NA,0
"4",2011-07-08,"LDP","dusk","LDPCH032011",50,NA,0,36,NA,0
"5",2011-07-09,"LDP","dawn","LDPCH032011",50,NA,0,48,NA,0
"6",2011-07-09,"LDP","dusk","LDPCH032011",50,NA,0,60,NA,0
"7",2011-07-10,"LDP","dawn","LDPCH032011",50,NA,0,72,NA,0
"8",2011-07-10,"LDP","dawn","LDPCH042011",100,NA,0,0,NA,0
"9",2011-07-10,"LDP","dusk","LDPCH042011",100,NA,0,12,NA,0
"10",2011-07-10,"LDP","dusk","LDPCH032011",50,NA,0,84,NA,0
"11",2011-07-11,"LDP","dawn","LDPCH042011",100,NA,0,24,NA,0
"12",2011-07-11,"LDP","dawn","LDPCH032011",50,NA,0,96,NA,0
"13",2011-07-11,"LDP","dusk","LDPCH042011",100,NA,0,36,NA,0
"14",2011-07-11,"LDP","dusk","LDPCH032011",50,NA,0,108,NA,0
"15",2011-07-12,"LDP","dawn","LDPCH032011",50,NA,0,120,NA,0
"16",2011-07-12,"LDP","dawn","LDPCH042011",100,NA,0,48,NA,0
"17",2011-07-12,"LDP","dusk","LDPCH042011",100,NA,0,60,NA,0
"18",2011-07-13,"LDP","dawn","LDPCH042011",100,NA,0,72,NA,0
"19",2011-07-13,"LDP","dusk","LDPCH042011",100,NA,0,84,NA,0
"20",2011-07-14,"LDP","dawn","LDPCH042011",100,NA,0,96,NA,0
"21",2011-07-14,"LDP","dusk","LDPCH042011",100,NA,0,108,NA,0
"22",2011-07-15,"LDP","dawn","LDPCH042011",100,NA,0,120,NA,0
"23",2011-07-16,"LDP","dawn","LDPCHL012011",82,15,15,0,15,15
"24",2011-07-16,"LDP","dawn","LDPCHL022011",72,15,15,0,15,15
"25",2011-07-16,"LDP","dusk","LDPCHL012011",82,15,15,12,14,14
"26",2011-07-16,"LDP","dusk","LDPCHL022011",72,15,15,12,14,14
"27",2011-07-17,"LDP","dawn","LDPCHL012011",82,15,15,24,14,14
"28",2011-07-17,"LDP","dawn","LDPCHL032011",97,14,14,0,14,14
"29",2011-07-17,"LDP","dawn","LDPCHL022011",72,15,15,24,14,14
"30",2011-07-17,"LDP","dusk","LDPCHL032011",97,14,14,12,14,14
"31",2011-07-17,"LDP","dusk","LDPCHL012011",82,15,15,36,14,14
"32",2011-07-17,"LDP","dusk","LDPCHL022011",72,15,15,36,14,14
"33",2011-07-18,"LDP","dawn","LDPCHL012011",82,15,15,48,13,13
"34",2011-07-18,"LDP","dawn","LDPCHL022011",72,15,15,48,13,13
"35",2011-07-18,"LDP","dawn","LDPCHL032011",97,14,14,24,13,13
"36",2011-07-18,"LDP","dusk","LDPCHL012011",82,15,15,60,11,11
"37",2011-07-18,"LDP","dusk","LDPCHL022011",72,15,15,60,11,11
"38",2011-07-18,"LDP","dusk","LDPCHL032011",97,14,14,36,11,11
"39",2011-07-19,"LDP","dawn","LDPCHL012011",82,15,15,72,11,11
"40",2011-07-19,"LDP","dawn","LDPCHL032011",97,14,14,48,11,11
"41",2011-07-19,"LDP","dawn","LDPCHL022011",72,15,15,72,11,11
