"","i","V2","MeanSurv","SD","SE","UpperCI","LowerCI"
"1","0","No",1,"0","0",1,1
"2","12","No",0.97782428670312,"0.0140773658718732","0.000445388145880726",0.976950283078161,0.97869829032808
"3","24","No",0.962193937456018,"0.0137234616631906","0.000434191112234008",0.961341906234425,0.96304596867761
"4","36","No",0.948095661437436,"0.01326283048983","0.000419617386857739",0.947272228841392,0.948919094033479
"5","48","No",0.938663449694892,"0.0110589335537387","0.000349889173567555",0.937976847662798,0.939350051726985
"6","60","No",0.927803492688417,"0.0107478142246653","0.000340045793606785",0.927136206728939,0.928470778647896
"7","72","No",0.923723967168186,"0.0102818542938154","0.000325303473804569",0.923085610674089,0.924362323662284
"8","84","No",0.920788475785683,"0.0101115127308477","0.000319914105254576",0.92016069507294,0.921416256498425
"9","96","No",0.920020295168484,"0.00988867022971736","0.000312863680529864",0.919406349796498,0.920634240540471
"10","108","No",0.918590921525035,"0.00967441406423867","0.000306084915443086",0.917990278404834,0.919191564645237
"11","120","No",0.918590921525035,"0.00967441406423867","0.000306084915443086",0.917990278404834,0.919191564645237
"12","0","Yes",1,"0","0",1,1
"13","12","Yes",0.977502328431441,"0.0140091455287029","0.000443229749740956",0.976632560316716,0.978372096546165
"14","24","Yes",0.962629506563277,"0.0136211801252629","0.000430955067582612",0.961783825566274,0.96347518756028
"15","36","Yes",0.947956912885091,"0.012955708464571","0.000409900475992863",0.947152548186112,0.94876127758407
"16","48","Yes",0.939335498392811,"0.0112787207675409","0.00035684293327904",0.938635250709725,0.940035746075897
"17","60","Yes",0.928583072507045,"0.0111937836876263","0.00035415564299448",0.927888098205102,0.929278046808987
"18","72","Yes",0.920397455988833,"0.0100932082992165","0.000319334978666561",0.919770811720205,0.92102410025746
"19","84","Yes",0.913736647986801,"0.00968961768367764","0.000306565936674915",0.913135060938692,0.914338235034909
"20","96","Yes",0.906246124377443,"0.00929913665598899","0.00029421166368757",0.90566878063144,0.906823468123446
"21","108","Yes",0.893758387184248,"0.0107539213016832","0.000340239012972858",0.893090722062396,0.8944260523061
"22","120","Yes",0.886535252761925,"0.00994663758659133","0.00031469768653885",0.885917708443907,0.887152797079943
